,ordernumber,orderdate,customer names,product name,channel,order quantity,unit price,line total,total unit cost,state_code,county,state,region,latitude,longitude,2017 budgets
46363,SO - 0002544,2017-01-01,NCS Group,Product 30,Wholesale,6,1239.5,7437.0,1028.7849999999999,NJ,Hudson County,New Jersey,Northeast,40.77955,-74.02375,1011609.684
46364,SO - 0006431,2017-01-01,Epic Group,Product 13,Wholesale,5,1829.1000000000001,9145.5,1207.2060000000001,CO,Mesa County,Colorado,West,39.06387,-108.55065,3720639.645
46365,SO - 0007491,2017-01-01,State Ltd,Product 15,Wholesale,9,2412.0,21708.0,1664.28,CA,Los Angeles County,California,West,33.96168,-118.35313,3299478.315
46366,SO - 0008741,2017-01-01,Fivebridge Ltd,Product 8,Wholesale,8,904.5,7236.0,750.735,IA,Dubuque County,Iowa,Midwest,42.50056,-90.66457,1085037.3290000001
46367,SO - 0009295,2017-01-01,Tagfeed Ltd,Product 2,Wholesale,12,1112.2,13346.400000000001,811.9060000000001,FL,Hernando County,Florida,South,28.47689,-82.52546,3050087.565
46368,SO - 0009270,2017-01-01,Rhynoodle Ltd,Product 2,Wholesale,11,3865.9,42524.9,2087.5860000000002,PA,Erie County,Pennsylvania,Northeast,42.12922,-80.08506,3050087.565
46369,SO - 0008849,2017-01-01,Twinte Group,Product 23,Wholesale,9,187.6,1688.3999999999999,116.312,CA,Monterey County,California,West,36.67774,-121.6555,1135815.7580000001
46370,SO - 0010564,2017-01-01,Accord Group,Product 3,Distributor,8,944.7,7557.6,651.843,TX,Johnson County/Tarrant County/Ellis County,Texas,South,32.56919,-97.12053,2642352.432
46371,SO - 0008694,2017-01-01,Blogspan Ltd,Product 2,Distributor,5,1085.4,5427.0,672.9480000000001,TN,Rutherford County,Tennessee,South,35.84562,-86.39027,3050087.565
46372,SO - 0009097,2017-01-01,CLINIQUE Ltd,Product 9,Distributor,10,174.20000000000002,1742.0000000000002,130.65,CT,New Haven County,Connecticut,Northeast,41.53815,-72.80704,710415.405
